paises,Año,valor
burkina faso,2020,-102.2436256073
burundi,2020,8.7221191164
cabo verde,2020,67.8999101541
camboya,2020,3624.6449901
camerun,2020,675.1869937
canada,2020,26884.3301249
islas caiman,2020,23621.0494316
republica centroafricana,2020,1.7373598234
chad,2020,557.6925033123
chile,2020,10832.5614959
china,2020,149342.26
hong kong,2020,134709.8520738664
macao,2020,-6980.4189778475
taiwan,2020,6053.0
colombia,2020,7458.62498
congo,2020,4015.5314509042
islas cook,2020,5.3165523
costa rica,2020,1762.6553921
cote divoire,2020,712.9158938811
croacia,2020,146.3506659151
curazao,2020,155.743256257
chipre,2020,-24450.8417723008
czechia,2020,9411.4762128585
checoslovaquia,2020,0.0
republica democratica del congo,2020,1646.9210563
dinamarca,2020,1685.2252897823
republica dominicana,2020,2559.6
ecuador,2020,1094.6859008
egipto,2020,5851.8
el salvador,2020,293.44233
guinea ecuatorial,2020,410.0169183231
estonia,2020,3419.3445516079
fiyi,2020,240.6394304698
finlandia,2020,-1578.5157383273
francia,2020,11359.1454541716
polinesia frances,2020,-15.5476129028
gabon,2020,1716.5115055221
gambia,2020,189.9
georgia,2020,589.79809
alemania,2020,56204.0739869287
ghana,2020,1333.37
grecia,2020,3212.5060193762
guatemala,2020,934.87964
guinea,2020,176.35
guinea bissau,2020,20.9897215969
guayana,2020,2085.89437
haiti,2020,25.0
honduras,2020,418.6
hungria,2020,7046.7195910922
islandia,2020,-927.8202006485
india,2020,64072.2384930738
indonesia,2020,18590.96
iran,2020,1342.0
irak,2020,-2859.1
irlanda,2020,76571.7196683975
israel,2020,23109.378
italia,2020,-23621.7684401934
jamaica,2020,265.1005536
japon,2020,10702.5667680909
jordan,2020,760.2816901408
kazakhstan,2020,3669.6427651
kenia,2020,716.7562236
kiribati,2020,2.6240928
rep de corea,2020,8764.9
kuwait,2020,239.6867744495
kirguistan,2020,-401.5
lao,2020,967.7060862
letonia,2020,1005.1330316411
libano,2020,1606.8947219
liberia,2020,86.96
libia,2020,0.0
lituania,2020,3518.3311136646
luxemburgo,2020,9838.8817438144
madagascar,2020,358.4671414
malawi,2020,252.1790402
malasia,2020,3159.5148974112
mali,2020,536.8518124411
malta,2020,3921.4237252515
mauritania,2020,954.8425755274
mauricio,2020,224.6680827703
mejico,2020,28195.14663
mongolia,2020,1719.12
montenegro,2020,532.2844960514
marruecos,2020,1419.2078697277
mozambique,2020,3034.5620562
namibia,2020,-146.4870553335
paises bajos,2020,-86507.0566506683
antillas holandesas,2020,0.0
nueva caledonia,2020,571.7281290163
nueva zelanda,2020,3886.3648449021
nicaragua,2020,746.5
niger,2020,360.6535742647
nigeria,2020,2385.2776659
noruega,2020,-8228.6930959799
oman,2020,2889.466840052
pakistan,2020,2057.0
panama,2020,149.9502883
papua nueva guinea,2020,111.7676028779
paraguay,2020,110.0731275
peru,2020,-416.5735892
filipinas,2020,6822.13329
polonia,2020,15195.4411343109
portugal,2020,7683.3262882265
katar,2020,-2434.0659341
republica de moldova,2020,150.12
rumania,2020,3432.3008637291
federacion rusa,2020,10409.86811
ruanda,2020,274.1226086
santo tome principe,2020,31.9548582
arabia saudita,2020,5399.1570396
senegal,2020,1845.6638812822
serbia,2020,3863.3484750533
serbia montenegro,2020,0.0
seychelles,2020,164.5361902
sierra leona,2020,173.0
singapur,2020,72902.6876039144
sint maarten,2020,22.1674600559
eslovaquia,2020,-2403.5431693215
eslovenia,2020,219.9992004624
islas salomon,2020,9.1334703612
sudafrica,2020,3062.2564228128
españa,2020,17948.1008696685
sri lanka,2020,434.0756685
estado de palestina,2020,79.7449923
suriname,2020,0.3488434
suazilandia,2020,35.8862050535
